Feature:c_01, Importance:4270
Feature:c_02, Importance:5675
Feature:c_03, Importance:5458
Feature:c_04, Importance:5322
Feature:c_05, Importance:4293
Feature:c_06, Importance:4927
Feature:c_07, Importance:4931
Feature:c_08, Importance:4783
Feature:c_09, Importance:4738
Feature:c_10, Importance:3156
Feature:c_11, Importance:4680
Feature:c_12, Importance:4515
Feature:c_13, Importance:4851
Feature:c_14, Importance:4562
Feature:c_15, Importance:3597
Feature:c_16, Importance:4578
Feature:c_17, Importance:4375
Feature:c_18, Importance:4245
Feature:c_19, Importance:4184
Feature:c_20, Importance:2532
Feature:c_21, Importance:4275
Feature:c_22, Importance:4487
Feature:c_23, Importance:4366
Feature:c_24, Importance:4465
Feature:c_25, Importance:3414
Feature:c_26, Importance:4241
Feature:c_27, Importance:4543
Feature:c_28, Importance:4509
Feature:c_29, Importance:4145
Feature:c_30, Importance:3113
Feature:c_31, Importance:4568
Feature:c_32, Importance:4711
Feature:c_33, Importance:4549
Feature:c_34, Importance:4693
Feature:c_35, Importance:3777
Feature:c_36, Importance:5075
Feature:c_37, Importance:5263
Feature:c_38, Importance:5255
Feature:c_39, Importance:5445
Feature:c_40, Importance:4434
Feature:c_diff_01_40, Importance:5411
Feature:c_diff_01_20, Importance:4676
Feature:c_diff_20_40, Importance:4806
Feature:c_diff_01_10, Importance:4104
Feature:c_diff_10_20, Importance:3954
Feature:c_diff_20_30, Importance:4236
Feature:c_diff_30_40, Importance:4532
Feature:c_diff_01_05, Importance:4023
Feature:c_diff_05_10, Importance:3876
Feature:c_diff_10_15, Importance:3925
Feature:c_diff_15_20, Importance:3985
Feature:c_diff_20_25, Importance:4004
Feature:c_diff_25_30, Importance:4097
Feature:c_diff_30_35, Importance:4198
Feature:c_diff_35_40, Importance:4705
Feature:c_div_01_40, Importance:4967
Feature:c_div_01_20, Importance:4742
Feature:c_div_20_40, Importance:4976
Feature:c_div_01_10, Importance:5277
Feature:c_div_10_20, Importance:5112
Feature:c_div_20_30, Importance:5081
Feature:c_div_30_40, Importance:5324
Feature:c_div_01_05, Importance:6556
Feature:c_div_05_10, Importance:6165
Feature:c_div_10_15, Importance:5856
Feature:c_div_15_20, Importance:5843
Feature:c_div_20_25, Importance:5982
Feature:c_div_25_30, Importance:6501
Feature:c_div_30_35, Importance:6763
Feature:c_div_35_40, Importance:6622
